experiment,seed,status,best_val_acc,num_samples,num_slices_per_object,effective_num_input_slices,classes,dataset_root,artifact_dir,model_path,summary_path,input_mode,single_gate_index,fusion_mode,epochs,batch_size,lr,min_lr,weight_decay,label_smoothing,grad_clip,ema_alpha,val_ratio,expected_num_slices
six_class_concat,42,ok,0.9666666666666667,600,3,3,chair desk sofa bed toilet image2d,D:\学生文件夹\王剑哲\slice_attention_baseline\dataset,D:\学生文件夹\王剑哲\slice_attention_baseline\experiments\six_class_concat\six_class_concat_seed42,D:\学生文件夹\王剑哲\slice_attention_baseline\experiments\six_class_concat\six_class_concat_seed42\slice_attention_model.pth,D:\学生文件夹\王剑哲\slice_attention_baseline\experiments\six_class_concat\six_class_concat_seed42\summary.json,multi,0,concat,30,8,0.0003,1e-05,0.0001,0.05,1.0,0.35,0.2,3
six_class_concat,332,ok,0.9333333333333333,600,3,3,chair desk sofa bed toilet image2d,D:\学生文件夹\王剑哲\slice_attention_baseline\dataset,D:\学生文件夹\王剑哲\slice_attention_baseline\experiments\six_class_concat\six_class_concat_seed332,D:\学生文件夹\王剑哲\slice_attention_baseline\experiments\six_class_concat\six_class_concat_seed332\slice_attention_model.pth,D:\学生文件夹\王剑哲\slice_attention_baseline\experiments\six_class_concat\six_class_concat_seed332\summary.json,multi,0,concat,30,8,0.0003,1e-05,0.0001,0.05,1.0,0.35,0.2,3
six_class_concat,2026,ok,0.9583333333333334,600,3,3,chair desk sofa bed toilet image2d,D:\学生文件夹\王剑哲\slice_attention_baseline\dataset,D:\学生文件夹\王剑哲\slice_attention_baseline\experiments\six_class_concat\six_class_concat_seed2026,D:\学生文件夹\王剑哲\slice_attention_baseline\experiments\six_class_concat\six_class_concat_seed2026\slice_attention_model.pth,D:\学生文件夹\王剑哲\slice_attention_baseline\experiments\six_class_concat\six_class_concat_seed2026\summary.json,multi,0,concat,30,8,0.0003,1e-05,0.0001,0.05,1.0,0.35,0.2,3
