epoch,lr,train_loss,val_loss,val_acc,train_loss_ema,val_loss_ema,val_acc_ema
1,0.0003,1.4029975175857543,1.6744947385787965,0.2,1.4029975175857543,1.6744947385787965,0.2
2,0.0002992056748283996,1.062112967967987,1.2319310092926026,0.6,1.2836879252195357,1.5195974333286286,0.33999999999999997
3,0.0002968314021064018,0.8581323003768921,0.789076681137085,0.8,1.1347434565246104,1.2639151700615885,0.5009999999999999
4,0.00029290319486279724,0.7425711846351624,0.6025875473022461,0.82,0.9974831613633035,1.0324505020958186,0.6126499999999999
5,0.00028746409135817707,0.6413145458698273,0.5350358581542969,0.85,0.8728241459405869,0.8583553767162859,0.6957225
6,0.0002805736835487436,0.6086955499649048,0.5298779606819153,0.85,0.7803791373490981,0.7433882811042561,0.749719625
7,0.0002723074641843674,0.5320293462276459,0.5573008775711059,0.81,0.6934567104565899,0.6782576898676536,0.77081775625
8,0.00026275599969422214,0.4962412869930267,0.8134058165550232,0.73,0.6244313122443428,0.7255595342082329,0.7565315415625
9,0.0002520239379220344,0.5597150588035583,0.3634996581077576,0.89,0.6017806235400682,0.5988385775730666,0.8032455020156251
10,0.00024022886158240857,0.47594726920127867,0.3244506680965424,0.91,0.557738949521492,0.5028028092562832,0.8406095763101563
11,0.00022749999999999997,0.46464828014373777,0.3345151805877686,0.89,0.525157215239278,0.4439021392223031,0.8578962246016016
12,0.00021397681324599103,0.38129295587539674,0.2787761914730072,0.93,0.47480472446191957,0.38610805751004956,0.8831325459910411
13,0.00019980746418436736,0.38870030641555786,0.48766868352890014,0.79,0.4446681781456929,0.4216542766166473,0.8505361548941767
14,0.00018514719516857508,0.3792276704311371,0.36183999180793763,0.92,0.42176400044559836,0.4007192769335989,0.8748485006812148
15,0.00017015662717380977,0.3636833417415619,0.4163722205162048,0.87,0.4014357698991856,0.4061978071875109,0.8731515254427896
16,0.00015500000000000003,0.3410764729976654,0.22710990250110627,0.92,0.38031001598365355,0.3435170405472693,0.8895484915378133
17,0.00013984337282619026,0.3387229228019714,0.2082990151643753,0.95,0.3657545333700648,0.2961907316632564,0.9107065194995787
18,0.00012485280483142487,0.32993873476982116,0.22270140647888184,0.93,0.3532190038599795,0.2704694678487253,0.9174592376747261
19,0.00011019253581563262,0.3216203320026398,0.19086485147476195,0.95,0.3421594687099106,0.2426078521178381,0.9288485044885719
20,9.602318675400897e-05,0.3038782238960266,0.1821589607000351,0.95,0.3287610330250512,0.22145074012160704,0.9362515279175718
21,8.250000000000003e-05,0.3023970663547516,0.19614487171173095,0.95,0.3195336446904463,0.2125936861781504,0.9410634931464217
22,6.977113841759141e-05,0.2907550013065338,0.18046419620513915,0.95,0.30946111950607696,0.20134836468759645,0.944191270545174
23,5.7976062077965607e-05,0.2759863358736038,0.17154377490282058,0.95,0.2977449452347114,0.1909167582629249,0.946224325854363
24,4.7244000305777854e-05,0.2943259918689728,0.17850906848907472,0.95,0.2965483115567029,0.18657406684207734,0.9475458118053359
25,3.7692535815632644e-05,0.28622607707977293,0.1641262036561966,0.96,0.2929355294897774,0.17871731472701907,0.9519047776734684
26,2.9426316451256393e-05,0.2707916659116745,0.1674485969543457,0.95,0.2851851772374414,0.1747732635065834,0.9512381054877543
27,2.2535908641822862e-05,0.27725561082363126,0.16236643761396408,0.97,0.28240982899260786,0.17043087444416663,0.9578047685670403
28,1.7096805137202738e-05,0.2759908443689346,0.1647424265742302,0.97,0.2801631843743222,0.16843991768968886,0.9620730995685762
29,1.3168597893598177e-05,0.2703926169872284,0.1655721190571785,0.95,0.27674348578883934,0.16743618816831024,0.9578475147195746
30,1.0794325171600358e-05,0.26329705893993377,0.1649969294667244,0.96,0.2720372363917224,0.1665824476227552,0.9586008845677235
