epoch,lr,train_loss,val_loss,val_acc,train_loss_ema,val_loss_ema,val_acc_ema
1,0.0003,1.6220846096674602,2.0934399982293446,0.16666666666666666,1.6220846096674602,2.0934399982293446,0.16666666666666666
2,0.0002992056748283996,1.3207978000243505,1.1066734676559766,0.6333333333333333,1.5166342262923718,1.7480717125286658,0.32999999999999996
3,0.0002968314021064018,1.1822195758422216,1.1495220432678859,0.5166666666666667,1.3995890986348192,1.5385793282873927,0.3953333333333333
4,0.00029290319486279724,1.0698823034763336,0.8375656130413215,0.725,1.2841917203293491,1.293224527951268,0.5107166666666667
5,0.00028746409135817707,0.943416154384613,0.7563008566697439,0.7333333333333333,1.1649202722486915,1.1053012430027345,0.5886325
6,0.0002805736835487436,0.9112130095561345,0.9478285983204842,0.5416666666666666,1.0761227303062966,1.050185817363947,0.5721944583333333
7,0.0002723074641843674,0.8284907589356104,0.7216600172221661,0.7166666666666667,0.9894515403265565,0.9352017873143237,0.62275973125
8,0.00026275599969422214,0.8665612747271856,0.6245397567749024,0.7833333333333333,0.9464399473667766,0.8264700766255262,0.6789604919791666
9,0.0002520239379220344,0.7896806870897611,0.7062991743286451,0.7416666666666667,0.8915742062698211,0.7844102608216178,0.7009076531197916
10,0.00024022886158240857,0.7532905012369155,0.6442115214963754,0.7416666666666667,0.8431749095083041,0.7353407020577829,0.7151733078611979
11,0.00022749999999999997,0.6763473823666573,0.6753412619233131,0.775,0.7847852750087276,0.7143408980107184,0.7361126501097787
12,0.00021397681324599103,0.6964188536008199,0.4709530512491862,0.8333333333333334,0.75385702751596,0.6291551516441821,0.7701398892380229
13,0.00019980746418436736,0.6134610076745352,0.4490697925289472,0.8083333333333333,0.7047184205714613,0.5661252759538499,0.7835075946713816
14,0.00018514719516857508,0.5697750762104988,0.44275767505168917,0.8333333333333334,0.6574882500451245,0.5229466156380936,0.8009466032030648
15,0.00017015662717380977,0.5890610074003537,0.5764110709230105,0.8333333333333334,0.6335387151194547,0.5416591749878146,0.8122819587486587
16,0.00015500000000000003,0.53744435608387,0.336252840111653,0.8833333333333333,0.5999056894570001,0.469766957781158,0.8371499398532949
17,0.00013984337282619026,0.5110283816854159,0.5097068813939889,0.8083333333333333,0.5687986317369456,0.48374593104564884,0.8270641275713084
18,0.00012485280483142487,0.5372801184654236,0.4423552367836237,0.8583333333333333,0.5577671520919129,0.46925918805394,0.8380083495880171
19,0.00011019253581563262,0.49233128925164543,0.386207710703214,0.8416666666666667,0.5348646000978192,0.4401911709811859,0.8392887605655445
20,9.602318675400897e-05,0.5387100572387378,0.3092067743341128,0.8833333333333333,0.5362105100971407,0.39434663215471033,0.8547043610342706
21,8.250000000000003e-05,0.4692533185084661,0.4367373950779438,0.8416666666666667,0.5127754930411046,0.409183399177842,0.8501411680056092
22,6.977113841759141e-05,0.47844736526409787,0.29093466786046823,0.8833333333333333,0.5007606483191522,0.3677963432167612,0.8617584258703126
23,5.7976062077965607e-05,0.45788387606541314,0.31224632809559505,0.8916666666666667,0.48575377803034353,0.34835383792435304,0.8722263101490366
24,4.7244000305777854e-05,0.473764468729496,0.26924610262115795,0.9083333333333333,0.4815575197750469,0.32066613056823473,0.8848637682635404
25,3.7692535815632644e-05,0.46900590012470883,0.28134179959694544,0.9166666666666666,0.4771644528974286,0.3069026147282835,0.8959947827046346
26,2.9426316451256393e-05,0.44006574898958206,0.25223750732839106,0.9416666666666667,0.46417990652968233,0.2877698271383211,0.9119799420913457
27,2.2535908641822862e-05,0.42022784501314164,0.26124615482985974,0.9166666666666666,0.44879668499889314,0.27848654183035965,0.913620295692708
28,1.7096805137202738e-05,0.4323431357741356,0.25337649571398896,0.9416666666666667,0.443037942770228,0.2696980256896299,0.9234365255335935
29,1.3168597893598177e-05,0.4277649660905202,0.2479839856425921,0.9333333333333333,0.4376924009323303,0.26209811167316666,0.9269004082635024
30,1.0794325171600358e-05,0.41013371298710505,0.24888419720033805,0.925,0.42804686015150145,0.25747324160767665,0.9262352653712765
