epoch,lr,train_loss,val_loss,val_acc,train_loss_ema,val_loss_ema,val_acc_ema
1,0.0003,1.3360600423812867,1.6553797245025634,0.23,1.3360600423812867,1.6553797245025634,0.23
2,0.0002992056748283996,1.1135122752189637,1.5376205253601074,0.37,1.2581683238744736,1.614164004802704,0.279
3,0.0002968314021064018,0.966822144985199,0.9639181303977966,0.65,1.1561971612632276,1.3865779487609862,0.40885
4,0.00029290319486279724,0.8590848159790039,0.8521761560440063,0.68,1.0522078404137494,1.1995373213100433,0.5037525
5,0.00028746409135817707,0.741662323474884,0.6509675097465515,0.81,0.9435169094851465,1.0075378872628211,0.610939125
6,0.0002805736835487436,0.7059537935256958,0.7313321661949158,0.74,0.8603698188993388,0.9108658848890543,0.65611043125
7,0.0002723074641843674,0.650907096862793,0.6875764501094818,0.77,0.7870578661865478,0.8327145827162039,0.6959717803125001
8,0.00026275599969422214,0.5885207343101502,0.5712037289142609,0.81,0.7175698700298087,0.7411857838855238,0.735881657203125
9,0.0002520239379220344,0.556970419883728,0.6655123782157898,0.74,0.6613600624786804,0.7147000919011169,0.7373230771820313
10,0.00024022886158240857,0.516609582901001,0.5070575284957886,0.82,0.6106973946264926,0.642025194709252,0.7662600001683203
11,0.00022749999999999997,0.4977497315406799,0.4377091562747955,0.87,0.5711657125464582,0.5705145812571922,0.8025690001094081
12,0.00021397681324599103,0.44553791522979735,0.3693209958076477,0.9,0.5271959834856269,0.5000968263498516,0.8366698500711154
13,0.00019980746418436736,0.43582391381263735,0.45802502512931825,0.83,0.49521575910008053,0.48537169592266494,0.834335402546225
14,0.00018514719516857508,0.4407065737247467,0.3539759999513626,0.88,0.4761375442187137,0.4393832023327091,0.8503180116550462
15,0.00017015662717380977,0.3633809125423431,0.3094780546426773,0.91,0.43667272313198396,0.39391640064119804,0.87120670757578
16,0.00015500000000000003,0.36598724365234375,0.32206774115562437,0.9,0.41193280531410986,0.36876936982124725,0.881284359924257
17,0.00013984337282619026,0.38570900082588194,0.464465788602829,0.85,0.40275447374323015,0.40226311639480083,0.870334833950767
18,0.00012485280483142487,0.35515645384788513,0.328666105568409,0.89,0.3860951667798594,0.3765041626055637,0.8772176420679986
19,0.00011019253581563262,0.3304219603538513,0.318062352091074,0.89,0.36660954453075656,0.3560495289254923,0.8816914673441991
20,9.602318675400897e-05,0.3190207302570343,0.296197969019413,0.92,0.34995345953495377,0.33510148295836456,0.8950994537737293
21,8.250000000000003e-05,0.3083281183242798,0.3331579549610615,0.91,0.3353845901112179,0.3344212481593085,0.9003146449529241
22,6.977113841759141e-05,0.31812923848629,0.3109216648340225,0.91,0.32934521704249314,0.3261963939954584,0.9037045192194008
23,5.7976062077965607e-05,0.2946432250738144,0.2800497591495514,0.92,0.31719951985345557,0.31004507179939095,0.9094079374926105
24,4.7244000305777854e-05,0.28890536069869993,0.25253858759999276,0.93,0.30729656414929113,0.28991780232960157,0.9166151593701969
25,3.7692535815632644e-05,0.3027279788255692,0.2778732015192509,0.92,0.30569755928598846,0.2857021920459788,0.917799853590628
26,2.9426316451256393e-05,0.3000271326303482,0.271417031288147,0.91,0.3037129099565144,0.2807023857807377,0.9150699048339083
27,2.2535908641822862e-05,0.2793326586484909,0.27047110557556153,0.92,0.2951798219987062,0.27712143770892605,0.9167954381420405
28,1.7096805137202738e-05,0.2817442029714584,0.26383410051465034,0.93,0.29047735533916946,0.27247086969092954,0.9214170347923263
29,1.3168597893598177e-05,0.2785182636976242,0.26012235835194586,0.91,0.2862916732646286,0.26814889072228526,0.9174210726150122
30,1.0794325171600358e-05,0.2753214597702026,0.27105193585157394,0.92,0.2824520985415795,0.2691649565175363,0.9183236971997579
