gate,feature,best_threshold,direction,best_accuracy,class0,class1,class0_mean,class1_mean,cohen_d
0,mean_all,0.0005331429711077362,class1_if_lt,0.6704545454545454,true3d,flat_false,0.07883046812044499,0.1006712882345627,0.2546603595850941
0,foreground_ratio,0.00011957908163265306,class1_if_lt,0.6704545454545454,true3d,flat_false,0.15396984432977734,0.15599770625579779,0.015114138227258314
0,foreground_mean,0.5689701735973358,class1_if_ge,0.7613636363636364,true3d,flat_false,0.4915401508862322,0.41463572870601306,-0.34962523222147945
0,p95,0.6352941393852234,class1_if_ge,0.7159090909090909,true3d,flat_false,0.4921568802515553,0.4438502803677693,-0.1823993723043792
0,p99,0.005882353289052844,class1_if_lt,0.6704545454545454,true3d,flat_false,0.6376114271115512,0.44786097531587904,-0.786697117801641
0,max_value,0.35490196966566145,class1_if_lt,0.6704545454545454,true3d,flat_false,0.7058823704719543,0.466577551740391,-1.0170952554312156
0,bbox_area_ratio,0.00015943877551020407,class1_if_lt,0.6704545454545454,true3d,flat_false,0.4515070587894249,0.3916835466430891,-0.2278440696947953
0,bbox_aspect,0.1411764705882353,class1_if_lt,0.6704545454545454,true3d,flat_false,1.3971257251897078,0.6589954977672869,-0.47390628976935784
0,edge_density,0.11099785841786414,class1_if_lt,0.7954545454545454,true3d,flat_false,0.3664107746582227,0.13571121683077164,-1.3978887782619118
1,mean_all,0.023930668481625617,class1_if_lt,0.5568181818181818,true3d,flat_false,0.12521155491809954,0.12407386870737272,-0.015476054978075445
1,foreground_ratio,0.09632095025510204,class1_if_lt,0.5681818181818182,true3d,flat_false,0.206404818674629,0.19705002029220778,-0.08174245024444807
1,foreground_mean,0.6461871862411499,class1_if_ge,0.6590909090909091,true3d,flat_false,0.5946071154691956,0.549362221902067,-0.3086730894982744
1,p95,0.6803921759128571,class1_if_lt,0.6022727272727273,true3d,flat_false,0.6641711430116133,0.5948306769661774,-0.4579398266289279
1,p99,0.6803921759128571,class1_if_lt,0.7386363636363636,true3d,flat_false,0.6874331737106497,0.6004456498935311,-0.5733718502460875
1,max_value,0.35490196966566145,class1_if_lt,0.5568181818181818,true3d,flat_false,0.7058823704719543,0.6261140975614332,-0.5063696835418334
1,bbox_area_ratio,0.12978316326530612,class1_if_lt,0.5568181818181818,true3d,flat_false,0.5397419266001856,0.5340705262929035,-0.027947729693651047
1,bbox_aspect,0.17412935323383086,class1_if_lt,0.5568181818181818,true3d,flat_false,1.0039761878744886,0.8669621220246925,-0.25452944664746363
1,edge_density,0.15726257758121653,class1_if_lt,0.6931818181818182,true3d,flat_false,0.30823259693162003,0.2223277787718201,-0.5313824998028627
2,mean_all,0.010068676085211337,class1_if_lt,0.6590909090909091,true3d,flat_false,0.10604314192790877,0.10049649923828176,-0.06411544275456724
2,foreground_ratio,0.02165377869897959,class1_if_lt,0.6590909090909091,true3d,flat_false,0.18341347547541742,0.15752958676368276,-0.19541139213464576
2,foreground_mean,0.1989952176809311,class1_if_lt,0.6590909090909091,true3d,flat_false,0.5413860936056484,0.42736371674320917,-0.5315769451017518
2,p95,0.005882353289052844,class1_if_lt,0.6590909090909091,true3d,flat_false,0.5564171282828532,0.45980393494987354,-0.3835735638183232
2,p99,0.30784314894117415,class1_if_lt,0.6590909090909091,true3d,flat_false,0.6763369176875461,0.46470589544200763,-0.9479319613558818
2,max_value,0.35490196966566145,class1_if_lt,0.6590909090909091,true3d,flat_false,0.7058823704719543,0.48253120632249524,-0.9660917830792959
2,bbox_area_ratio,0.060267857142857144,class1_if_lt,0.6590909090909091,true3d,flat_false,0.4583543200660945,0.4091670048701299,-0.19136203504659416
2,bbox_aspect,0.16923076923076924,class1_if_lt,0.6590909090909091,true3d,flat_false,1.039546993612196,0.6898377161886806,-0.5111341231243394
2,edge_density,0.14973089057680708,class1_if_lt,0.7840909090909091,true3d,flat_false,0.3499271148111131,0.15588538058587723,-1.1939191702898642
