class_name,gate,num_images,feature,mean,std,minimum,maximum
flat_false,0,44,mean_all,0.1006712882345627,0.10941496753163281,0.00032755290158092976,0.5470300912857056
flat_false,0,44,foreground_ratio,0.15599770625579779,0.1655485486844901,0.0,0.8131377551020408
flat_false,0,44,foreground_mean,0.41463572870601306,0.29936463650142653,0.0,0.6821405291557312
flat_false,0,44,p95,0.4438502803677693,0.3167405045118608,0.003921568859368563,0.7058823704719543
flat_false,0,44,p99,0.44786097531587904,0.3195270041373593,0.003921568859368563,0.7058823704719543
flat_false,0,44,max_value,0.466577551740391,0.3327398475061506,0.003921568859368563,0.7058823704719543
flat_false,0,44,bbox_area_ratio,0.3916835466430891,0.31108737161844824,0.0,1.0
flat_false,0,44,bbox_aspect,0.6589954977672869,0.5909260033773246,0.0,1.9803921568627452
flat_false,0,44,edge_density,0.13571121683077164,0.14155895595167775,0.0,0.4409117305458769
flat_false,1,44,mean_all,0.12407386870737272,0.08843458585411595,0.00032755290158092976,0.5099256038665771
flat_false,1,44,foreground_ratio,0.19705002029220778,0.13857853079926252,0.0,0.822265625
flat_false,1,44,foreground_mean,0.549362221902067,0.20216240439391966,0.0,0.6767666339874268
flat_false,1,44,p95,0.5948306769661774,0.2120711066832448,0.003921568859368563,0.7058823704719543
flat_false,1,44,p99,0.6004456498935311,0.21414164060626542,0.003921568859368563,0.7058823704719543
flat_false,1,44,max_value,0.6261140975614332,0.22278066215987766,0.003921568859368563,0.7058823704719543
flat_false,1,44,bbox_area_ratio,0.5340705262929035,0.24980275738257746,0.0,1.0
flat_false,1,44,bbox_aspect,0.8669621220246925,0.5226012378843982,0.0,2.2954545454545454
flat_false,1,44,edge_density,0.2223277787718201,0.18047258660780566,0.0,0.8239185750636132
flat_false,2,44,mean_all,0.10049649923828176,0.08954846476735771,0.00032755290158092976,0.3585222065448761
flat_false,2,44,foreground_ratio,0.15752958676368276,0.13881156774786402,0.0,0.5289979272959183
flat_false,2,44,foreground_mean,0.42736371674320917,0.29316761847189987,0.0,0.6767576336860657
flat_false,2,44,p95,0.45980393494987354,0.3117497198939719,0.003921568859368563,0.7058823704719543
flat_false,2,44,p99,0.46470589544200763,0.3150756462763037,0.003921568859368563,0.7058823704719543
flat_false,2,44,max_value,0.48253120632249524,0.32695262607989545,0.003921568859368563,0.7058823704719543
flat_false,2,44,bbox_area_ratio,0.4091670048701299,0.3084116186443941,0.0,1.0
flat_false,2,44,bbox_aspect,0.6898377161886806,0.6404415778863641,0.0,2.9705882352941178
flat_false,2,44,edge_density,0.15588538058587723,0.15435567643283674,0.0,0.5998696064485538
true3d,0,44,mean_all,0.07883046812044499,0.05233990921556008,0.0007387330406345427,0.24555142223834991
true3d,0,44,foreground_ratio,0.15396984432977734,0.09271884821330066,0.00023915816326530612,0.45731026785714285
true3d,0,44,foreground_mean,0.4915401508862322,0.08454449728883001,0.2633366584777832,0.6495966911315918
true3d,0,44,p95,0.4921568802515553,0.19988900499673,0.007843137718737125,0.6980392336845398
true3d,0,44,p99,0.6376114271115512,0.11939965845123245,0.007843137718737125,0.7058823704719543
true3d,0,44,max_value,0.7058823704719543,0.0,0.7058823704719543,0.7058823704719543
true3d,0,44,bbox_area_ratio,0.4515070587894249,0.20274052016531857,0.00031887755102040814,0.7653061224489796
true3d,0,44,bbox_aspect,1.3971257251897078,2.1219560340882055,0.2823529411764706,11.416666666666666
true3d,0,44,edge_density,0.3664107746582227,0.1855631545245315,0.11166764879198586,1.0
true3d,1,44,mean_all,0.12521155491809954,0.05465849432717119,0.0475337840616703,0.2636590301990509
true3d,1,44,foreground_ratio,0.206404818674629,0.08360678995188622,0.08655532525510204,0.4151187818877551
true3d,1,44,foreground_mean,0.5946071154691956,0.04583645131545714,0.4519127607345581,0.6498045325279236
true3d,1,44,p95,0.6641711430116133,0.029679008792054914,0.545098066329956,0.6980392336845398
true3d,1,44,p99,0.6874331737106497,0.013287630472929976,0.6235294342041016,0.7058823704719543
true3d,1,44,max_value,0.7058823704719543,0.0,0.7058823704719543,0.7058823704719543
true3d,1,44,bbox_area_ratio,0.5397419266001856,0.1412756485260892,0.25956632653061223,0.7810108418367347
true3d,1,44,bbox_aspect,1.0039761878744886,0.55356033212901,0.3482587064676617,2.9705882352941178
true3d,1,44,edge_density,0.30823259693162003,0.14035458786278676,0.09696658097686375,0.5889156626506024
true3d,2,44,mean_all,0.10604314192790877,0.08336136750519302,0.019809799268841743,0.5051149129867554
true3d,2,44,foreground_ratio,0.18341347547541742,0.1257848433189303,0.04330755739795918,0.7823262117346939
true3d,2,44,foreground_mean,0.5413860936056484,0.07792195171064985,0.3979904353618622,0.6481087803840637
true3d,2,44,p95,0.5564171282828532,0.17232447441340878,0.007843137718737125,0.6941176652908325
true3d,2,44,p99,0.6763369176875461,0.020331552637746355,0.6117647290229797,0.6980392336845398
true3d,2,44,max_value,0.7058823704719543,0.0,0.7058823704719543,0.7058823704719543
true3d,2,44,bbox_area_ratio,0.4583543200660945,0.19240411298192728,0.12053571428571429,0.8132174744897959
true3d,2,44,bbox_aspect,1.039546993612196,0.7252912094340778,0.3384615384615385,3.210526315789474
true3d,2,44,edge_density,0.3499271148111131,0.17030292973957234,0.0835328883680644,0.7468879668049793
