epoch,lr,train_loss,val_loss,val_acc,train_loss_ema,val_loss_ema,val_acc_ema
1,0.0003,1.478140549659729,1.6489501571655274,0.2,1.478140549659729,1.6489501571655274,0.2
2,0.0002992056748283996,1.2203241062164307,1.6107965326309204,0.24,1.3879047944545746,1.635596388578415,0.214
3,0.0002968314021064018,1.0581913828849792,1.0482632827758789,0.57,1.2725051004052161,1.4300298015475275,0.3386
4,0.00029290319486279724,0.9326231026649475,0.7919076251983642,0.74,1.153546401196122,1.2066870398253204,0.47909
5,0.00028746409135817707,0.8164366221427918,0.8925860404968262,0.64,1.0355579785274565,1.0967516900603473,0.5354085
6,0.0002805736835487436,0.7509893226623535,0.6054501342773437,0.82,0.9359589489746705,0.9247961455362961,0.635015525
7,0.0002723074641843674,0.6807705473899841,0.5402825379371643,0.85,0.8466430084200303,0.7902163828765999,0.71026009125
8,0.00026275599969422214,0.6345219612121582,0.5180788898468017,0.82,0.772400641897275,0.6949682603161706,0.7486690593125
9,0.0002520239379220344,0.6165108335018158,0.46818634510040286,0.83,0.7178392089588643,0.6155945899906519,0.7771348885531251
10,0.00024022886158240857,0.5460237061977387,0.4906048810482025,0.82,0.6577037829924703,0.5718481918607946,0.7921376775595312
11,0.00022749999999999997,0.5846894383430481,0.4249961495399475,0.83,0.6321487623651725,0.5204499770484982,0.8053894904136953
12,0.00021397681324599103,0.4964911150932312,0.4116646659374237,0.86,0.584668585819993,0.4823751181596221,0.824503168768902
13,0.00019980746418436736,0.48452494859695433,0.4646338176727295,0.84,0.5496183127919295,0.4761656629892097,0.8299270596997863
14,0.00018514719516857508,0.45397056341171266,0.374362006187439,0.87,0.5161416005088536,0.44053438310858994,0.8439525888048611
15,0.00017015662717380977,0.4368999791145325,0.3852068042755127,0.86,0.4884070330208412,0.4211697305170129,0.8495691827231597
16,0.00015500000000000003,0.4000779974460602,0.2946859049797058,0.89,0.45749187056966784,0.3769003915789554,0.8637199687700539
17,0.00013984337282619026,0.39414063453674314,0.29175073504447935,0.88,0.4353189379581442,0.34709801179188876,0.869417979700535
18,0.00012485280483142487,0.397233372926712,0.2805751061439514,0.9,0.421988990197143,0.3238149948151107,0.8801216868053479
19,0.00011019253581563262,0.3805733036994934,0.2412521606683731,0.93,0.4074934999229656,0.2949180028637526,0.8975790964234761
20,9.602318675400897e-05,0.34210997104644775,0.25868085741996766,0.91,0.3846092648161843,0.2822350019584279,0.9019264126752595
21,8.250000000000003e-05,0.34096523880958557,0.247306467294693,0.93,0.3693338557138747,0.2700100148261207,0.9117521682389187
22,6.977113841759141e-05,0.3274660539627075,0.26290718793869017,0.9,0.3546801251009662,0.26752402541552,0.9076389093552972
23,5.7976062077965607e-05,0.3268407475948334,0.22440984189510346,0.92,0.3449363429738197,0.2524340611833742,0.9119652910809433
24,4.7244000305777854e-05,0.33670806884765625,0.21998511791229247,0.93,0.3420564470296625,0.2410769310384956,0.9182774392026132
25,3.7692535815632644e-05,0.32835156440734864,0.22898585796356202,0.93,0.3372597381118526,0.23684505546226886,0.9223803354816986
26,2.9426316451256393e-05,0.31850725412368774,0.21539971828460694,0.93,0.3306963687159949,0.2293391874500872,0.9250472180631041
27,2.2535908641822862e-05,0.3123344421386719,0.2313721650838852,0.93,0.32426969441393183,0.23005072962191647,0.9267806917410177
28,1.7096805137202738e-05,0.3019419920444488,0.21992995500564574,0.93,0.3164549985846128,0.22650845850622173,0.9279074496316616
29,1.3168597893598177e-05,0.3040346658229828,0.2103151023387909,0.92,0.3121078821180423,0.2208407838476209,0.9251398422605801
30,1.0794325171600358e-05,0.3097684562206268,0.2101204764842987,0.92,0.31128908305394687,0.21708867627045814,0.9233408974693771
