epoch,lr,train_loss,val_loss,val_acc,train_loss_ema,val_loss_ema,val_acc_ema
1,0.0003,1.4625888864199321,1.7767664233843485,0.25833333333333336,1.4625888864199321,1.7767664233843485,0.25833333333333336
2,0.0002992056748283996,1.047772428393364,1.0423819820086162,0.6833333333333333,1.3174031261106334,1.5197318689028423,0.40708333333333335
3,0.0002968314021064018,0.8420435905456543,0.721968408425649,0.8166666666666667,1.1510272886628907,1.2405146577358246,0.5504375
4,0.00029290319486279724,0.7121127054095269,0.7043522650996844,0.7583333333333333,0.9974071845242134,1.0528578203131755,0.6232010416666667
5,0.00028746409135817707,0.6251930008331935,0.5469927916924159,0.8333333333333334,0.8671322202323564,0.8758050602959097,0.69674734375
6,0.0002805736835487436,0.5518052399158477,0.47168748105565705,0.8333333333333334,0.7567677771215783,0.7343639075618213,0.7445524401041668
7,0.0002723074641843674,0.5407726854085922,0.4879200279712677,0.85,0.6811694950220332,0.6481085497051275,0.7814590860677084
8,0.00026275599969422214,0.5370778799057007,0.40793282613158227,0.8583333333333333,0.6307374297313169,0.5640470464543867,0.808365072610677
9,0.0002520239379220344,0.44860406368970873,0.47270264302690823,0.8583333333333333,0.566990751616754,0.5320765052547692,0.8258539638636067
10,0.00024022886158240857,0.4549909363190333,0.3942590182026227,0.9083333333333333,0.5277908162625518,0.483840384786518,0.854721743178011
11,0.00022749999999999997,0.4182153721650442,0.4075496304780245,0.85,0.4894394108284241,0.4571386207785453,0.8530691330657071
12,0.00021397681324599103,0.40364284068346024,0.3387842164685329,0.8916666666666667,0.4594106112776868,0.41571457927004096,0.8665782698260429
13,0.00019980746418436736,0.3912656565507253,0.392093438655138,0.8833333333333333,0.4355598771232503,0.40744718005482494,0.8724425420535946
14,0.00018514719516857508,0.35144178569316864,0.37149181328713893,0.8833333333333333,0.4061185451227217,0.39486280168613486,0.8762543190015031
15,0.00017015662717380977,0.34673582116762797,0.37291403574248155,0.8666666666666667,0.3853345917384389,0.38718073360585614,0.8728986406843103
16,0.00015500000000000003,0.3191547448436419,0.30621739402413367,0.9166666666666666,0.36217164532525997,0.3588435647522533,0.888217449778135
17,0.00013984337282619026,0.3271963785092036,0.34668408545355,0.9,0.34993030193964025,0.3545877469977071,0.8923413423557878
18,0.00012485280483142487,0.32050376882155734,0.3027323719114065,0.9,0.33963101534831125,0.3364383657175019,0.895021872531262
19,0.00011019253581563262,0.322994656364123,0.316068027416865,0.9083333333333333,0.33380828970384535,0.329308747312279,0.899680883811987
20,9.602318675400897e-05,0.3020329500238101,0.2806167674561342,0.9083333333333333,0.322686920815833,0.3122665543626283,0.9027092411444582
21,8.250000000000003e-05,0.2971661662062009,0.2957839448004961,0.9083333333333333,0.3137546567024618,0.306497641015882,0.9046776734105645
22,6.977113841759141e-05,0.30167708098888396,0.296035053084294,0.925,0.30952750520270955,0.3028357352398262,0.9117904877168669
23,5.7976062077965607e-05,0.29473186979691185,0.2914881810545921,0.9083333333333333,0.3043490328106804,0.29886409127499425,0.9105804836826301
24,4.7244000305777854e-05,0.2970774322748184,0.30216092653572557,0.9333333333333333,0.3018039726231287,0.3000179836162502,0.9185439810603763
25,3.7692535815632644e-05,0.2905004064242045,0.2914621576666832,0.9166666666666666,0.29784772445350527,0.2970234445339018,0.9178869210225779
26,2.9426316451256393e-05,0.28341107815504074,0.29579808612664543,0.9166666666666666,0.2927948982490427,0.29659456909136206,0.917459831998009
27,2.2535908641822862e-05,0.28567765777309734,0.28984587887922925,0.9083333333333333,0.2903038640824618,0.2942325275171156,0.9142655574653724
28,1.7096805137202738e-05,0.28729704196254413,0.2934185601770878,0.9083333333333333,0.2892514763404906,0.2939476389481058,0.9121892790191587
29,1.3168597893598177e-05,0.28174589624007546,0.2866078492254019,0.9166666666666666,0.28662452330534527,0.29137871254515946,0.9137563646957865
30,1.0794325171600358e-05,0.2809965267777443,0.28911418095231056,0.9083333333333333,0.2846547245206849,0.29058612648766236,0.9118583037189278
