class_name,num_samples,attn_gate_0,attn_gate_1,attn_gate_2,max_attention_gate,max_attention
chair,20,0.32383082509040834,0.3383297771215439,0.3378393933176994,gate_1,0.3383297771215439
desk,20,0.34570866674184797,0.3365558937191963,0.3177354335784912,gate_0,0.34570866674184797
sofa,20,0.3334728956222534,0.3346850901842117,0.33184200823307036,gate_1,0.3346850901842117
bed,20,0.3184360846877098,0.3342112794518471,0.3473526403307915,gate_2,0.3473526403307915
toilet,20,0.33937171548604966,0.33055116683244706,0.33007712811231615,gate_0,0.33937171548604966
image2d,20,0.3296850822865963,0.3649111047387123,0.3054038032889366,gate_1,0.3649111047387123
